,filename,mAP
0,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_06_29_000.jpg,1.0
1,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_08_02_000.jpg,0.1666666716337204
2,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_09_51_000.jpg,1.0
3,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_12_08_000.jpg,0.5
4,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_15_000.jpg,1.0
5,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_30_000.jpg,1.0
6,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_35_000.jpg,0.5
7,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_45_000.jpg,0.0
8,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_46_000.jpg,1.0
9,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_47_000.jpg,1.0
10,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_48_000.jpg,1.0
11,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_59_000.jpg,0.5
12,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_17_12_000.jpg,1.0
13,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_19_000.jpg,1.0
14,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_23_000.jpg,1.0
15,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_34_000.jpg,0.5
16,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_35_000.jpg,1.0
17,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_37_000.jpg,0.5555555820465088
18,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_44_000.jpg,0.8333333134651184
19,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_20_44_000.jpg,1.0
20,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_21_27_000.jpg,0.5
21,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_21_34_000.jpg,1.0
22,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_22_05_000.jpg,0.0
23,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_23_52_000.jpg,0.0
24,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_24_14_000.jpg,1.0
