,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_06_29_000.jpg,1.0,1.0,1.0
1,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_08_02_000.jpg,0.25,0.5,0.3333333333333333
2,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_09_51_000.jpg,0.16666666666666666,1.0,0.2857142857142857
3,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_12_08_000.jpg,0.16666666666666666,1.0,0.2857142857142857
4,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_15_000.jpg,0.6666666666666666,1.0,0.8
5,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_30_000.jpg,0.25,1.0,0.4
6,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_14_35_000.jpg,0.5,1.0,0.6666666666666666
7,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_45_000.jpg,0.0,0.0,0.0
8,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_46_000.jpg,0.3333333333333333,1.0,0.5
9,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_47_000.jpg,0.3333333333333333,1.0,0.5
10,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_48_000.jpg,0.5,1.0,0.6666666666666666
11,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_16_59_000.jpg,0.3333333333333333,1.0,0.5
12,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_17_12_000.jpg,0.2,1.0,0.33333333333333337
13,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_19_000.jpg,0.3333333333333333,1.0,0.5
14,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_23_000.jpg,0.25,1.0,0.4
15,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_34_000.jpg,0.16666666666666666,1.0,0.2857142857142857
16,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_35_000.jpg,0.3333333333333333,1.0,0.5
17,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_18_37_000.jpg,0.5,0.6666666666666666,0.5714285714285715
