,filename,mAP
0,F:\Datasets\TFMTestRemake\CropInput\0_Ayagaures_frame_18_45_40_000.jpg,1.0
1,F:\Datasets\TFMTestRemake\CropInput\1000_Arucas_frame_01_29_30_000.jpg,0.0
2,F:\Datasets\TFMTestRemake\CropInput\1002_Arucas_frame_01_46_54_000.jpg,1.0
3,F:\Datasets\TFMTestRemake\CropInput\1008_PresaDeHornos_frame_10_05_38_000.jpg,1.0
4,F:\Datasets\TFMTestRemake\CropInput\1009_ParqueSur_frame_17_34_00_000.jpg,1.0
5,F:\Datasets\TFMTestRemake\CropInput\1012_Arucas_frame_01_51_05_000.jpg,1.0
6,F:\Datasets\TFMTestRemake\CropInput\1013_Arucas_frame_01_51_05_000.jpg,1.0
7,F:\Datasets\TFMTestRemake\CropInput\1014_ParqueSur_frame_15_44_33_000.jpg,0.0
8,F:\Datasets\TFMTestRemake\CropInput\1018_Arucas_frame_01_40_44_000.jpg,1.0
9,F:\Datasets\TFMTestRemake\CropInput\1020_ParqueSur_frame_15_04_54_000.jpg,1.0
10,F:\Datasets\TFMTestRemake\CropInput\1021_ParqueSur_frame_15_04_54_000.jpg,1.0
11,F:\Datasets\TFMTestRemake\CropInput\1023_Arucas_frame_01_20_44_000.jpg,0.0
12,F:\Datasets\TFMTestRemake\CropInput\1025_Arucas_frame_01_20_44_000.jpg,1.0
13,F:\Datasets\TFMTestRemake\CropInput\1028_Arucas_frame_01_39_50_000.jpg,0.0
14,F:\Datasets\TFMTestRemake\CropInput\102_ParqueSur_frame_19_41_31_000.jpg,1.0
15,F:\Datasets\TFMTestRemake\CropInput\1031_Arucas_frame_01_32_49_000.jpg,1.0
16,F:\Datasets\TFMTestRemake\CropInput\1032_Arucas_frame_01_32_49_000.jpg,1.0
17,F:\Datasets\TFMTestRemake\CropInput\1033_Arucas_frame_01_32_49_000.jpg,0.0
18,F:\Datasets\TFMTestRemake\CropInput\1035_Arucas_frame_01_32_49_000.jpg,0.0
19,F:\Datasets\TFMTestRemake\CropInput\1037_Arucas_frame_01_42_53_000.jpg,1.0
20,F:\Datasets\TFMTestRemake\CropInput\1039_Arucas_frame_01_47_04_000.jpg,0.0
21,F:\Datasets\TFMTestRemake\CropInput\103_Ayagaures_frame_16_18_41_000.jpg,1.0
22,F:\Datasets\TFMTestRemake\CropInput\1040_Arucas_frame_01_47_04_000.jpg,1.0
23,F:\Datasets\TFMTestRemake\CropInput\1044_Arucas_frame_01_16_46_000.jpg,1.0
24,F:\Datasets\TFMTestRemake\CropInput\1047_Arucas_frame_01_16_46_000.jpg,0.0
25,F:\Datasets\TFMTestRemake\CropInput\1050_Arucas_frame_01_38_57_000.jpg,1.0
26,F:\Datasets\TFMTestRemake\CropInput\1052_Arucas_frame_01_38_57_000.jpg,1.0
27,F:\Datasets\TFMTestRemake\CropInput\1053_ParqueSur_frame_16_33_16_000.jpg,1.0
28,F:\Datasets\TFMTestRemake\CropInput\1054_ParqueSur_frame_16_33_16_000.jpg,0.0
