,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\CropSegInput\0_Ayagaures_frame_18_45_40_000.jpg,1.0,1.0,1.0
1,F:\Datasets\TFMTestRemake\CropSegInput\1002_Arucas_frame_01_46_54_000.jpg,1.0,1.0,1.0
2,F:\Datasets\TFMTestRemake\CropSegInput\1005_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
3,F:\Datasets\TFMTestRemake\CropSegInput\1009_ParqueSur_frame_17_34_00_000.jpg,1.0,1.0,1.0
4,F:\Datasets\TFMTestRemake\CropSegInput\1012_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
5,F:\Datasets\TFMTestRemake\CropSegInput\1013_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
6,F:\Datasets\TFMTestRemake\CropSegInput\1014_ParqueSur_frame_15_44_33_000.jpg,0.0,0.0,0.0
7,F:\Datasets\TFMTestRemake\CropSegInput\1018_Arucas_frame_01_40_44_000.jpg,1.0,1.0,1.0
8,F:\Datasets\TFMTestRemake\CropSegInput\1023_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
9,F:\Datasets\TFMTestRemake\CropSegInput\1025_Arucas_frame_01_20_44_000.jpg,1.0,1.0,1.0
10,F:\Datasets\TFMTestRemake\CropSegInput\1028_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
11,F:\Datasets\TFMTestRemake\CropSegInput\1031_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
12,F:\Datasets\TFMTestRemake\CropSegInput\1032_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
13,F:\Datasets\TFMTestRemake\CropSegInput\1037_Arucas_frame_01_42_53_000.jpg,0.0,0.0,0.0
14,F:\Datasets\TFMTestRemake\CropSegInput\1044_Arucas_frame_01_16_46_000.jpg,1.0,1.0,1.0
15,F:\Datasets\TFMTestRemake\CropSegInput\1049_Arucas_frame_01_38_57_000.jpg,0.0,0.0,0.0
16,F:\Datasets\TFMTestRemake\CropSegInput\1050_Arucas_frame_01_38_57_000.jpg,0.3333333333333333,1.0,0.5
17,F:\Datasets\TFMTestRemake\CropSegInput\1052_Arucas_frame_01_38_57_000.jpg,0.0,0.0,0.0
18,F:\Datasets\TFMTestRemake\CropSegInput\1056_Arucas_frame_01_39_30_000.jpg,1.0,1.0,1.0
19,F:\Datasets\TFMTestRemake\CropSegInput\1061_Arucas_frame_01_18_37_000.jpg,0.0,0.0,0.0
20,F:\Datasets\TFMTestRemake\CropSegInput\1064_Arucas_frame_01_18_37_000.jpg,1.0,1.0,1.0
21,F:\Datasets\TFMTestRemake\CropSegInput\1070_PresaDeHornos_frame_10_24_58_000.jpg,1.0,1.0,1.0
22,F:\Datasets\TFMTestRemake\CropSegInput\1072_Arucas_frame_01_33_57_000.jpg,0.5,1.0,0.6666666666666666
23,F:\Datasets\TFMTestRemake\CropSegInput\1074_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
24,F:\Datasets\TFMTestRemake\CropSegInput\1075_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
25,F:\Datasets\TFMTestRemake\CropSegInput\1087_Teror_frame_03_01_59_000.jpg,0.0,0.0,0.0
26,F:\Datasets\TFMTestRemake\CropSegInput\1091_Teror_frame_02_48_12_000.jpg,0.5,1.0,0.6666666666666666
27,F:\Datasets\TFMTestRemake\CropSegInput\1094_Teror_frame_01_30_58_000.jpg,1.0,1.0,1.0
28,F:\Datasets\TFMTestRemake\CropSegInput\1098_Teror_frame_02_33_22_000.jpg,1.0,1.0,1.0
29,F:\Datasets\TFMTestRemake\CropSegInput\1107_Teror_frame_02_20_56_000.jpg,1.0,1.0,1.0
30,F:\Datasets\TFMTestRemake\CropSegInput\110_Arucas_frame_01_29_58_000.jpg,1.0,1.0,1.0
31,F:\Datasets\TFMTestRemake\CropSegInput\1116_Teror_frame_02_06_48_000.jpg,1.0,1.0,1.0
32,F:\Datasets\TFMTestRemake\CropSegInput\1118_Teror_frame_03_15_08_000.jpg,1.0,1.0,1.0
33,F:\Datasets\TFMTestRemake\CropSegInput\1121_Teror_frame_02_08_39_000.jpg,0.5,1.0,0.6666666666666666
34,F:\Datasets\TFMTestRemake\CropSegInput\1122_Teror_frame_03_06_16_000.jpg,1.0,1.0,1.0
35,F:\Datasets\TFMTestRemake\CropSegInput\1123_Teror_frame_03_06_16_000.jpg,0.0,0.0,0.0
36,F:\Datasets\TFMTestRemake\CropSegInput\1124_Teror_frame_02_22_52_000.jpg,0.3333333333333333,1.0,0.5
37,F:\Datasets\TFMTestRemake\CropSegInput\1128_Teror_frame_03_22_05_000.jpg,0.0,0.0,0.0
38,F:\Datasets\TFMTestRemake\CropSegInput\1138_Teror_frame_02_37_14_000.jpg,1.0,1.0,1.0
39,F:\Datasets\TFMTestRemake\CropSegInput\1139_Teror_frame_02_37_14_000.jpg,1.0,1.0,1.0
40,F:\Datasets\TFMTestRemake\CropSegInput\1143_Teror_frame_03_02_30_000.jpg,0.0,0.0,0.0
41,F:\Datasets\TFMTestRemake\CropSegInput\1144_Teror_frame_03_23_52_000.jpg,1.0,1.0,1.0
42,F:\Datasets\TFMTestRemake\CropSegInput\114_Arucas_frame_01_44_47_000.jpg,1.0,1.0,1.0
43,F:\Datasets\TFMTestRemake\CropSegInput\1153_PresaDeHornos_frame_13_40_41_000.jpg,1.0,1.0,1.0
44,F:\Datasets\TFMTestRemake\CropSegInput\115_Arucas_frame_01_44_47_000.jpg,1.0,1.0,1.0
45,F:\Datasets\TFMTestRemake\CropSegInput\1162_Teror_frame_03_02_12_000.jpg,1.0,1.0,1.0
46,F:\Datasets\TFMTestRemake\CropSegInput\1166_Teror_frame_02_14_38_000.jpg,0.0,0.0,0.0
47,F:\Datasets\TFMTestRemake\CropSegInput\1174_Teror_frame_02_39_30_000.jpg,1.0,1.0,1.0
48,F:\Datasets\TFMTestRemake\CropSegInput\1180_PresaDeHornos_frame_11_15_45_000.jpg,1.0,1.0,1.0
49,F:\Datasets\TFMTestRemake\CropSegInput\1183_Teror_frame_02_39_31_000.jpg,1.0,1.0,1.0
50,F:\Datasets\TFMTestRemake\CropSegInput\1185_Teror_frame_03_06_36_000.jpg,1.0,1.0,1.0
51,F:\Datasets\TFMTestRemake\CropSegInput\1188_Teror_frame_02_15_11_000.jpg,0.0,0.0,0.0
52,F:\Datasets\TFMTestRemake\CropSegInput\1189_Teror_frame_02_15_11_000.jpg,1.0,1.0,1.0
53,F:\Datasets\TFMTestRemake\CropSegInput\1191_Teror_frame_02_42_19_000.jpg,0.0,0.0,0.0
54,F:\Datasets\TFMTestRemake\CropSegInput\1192_Teror_frame_03_13_25_000.jpg,1.0,1.0,1.0
55,F:\Datasets\TFMTestRemake\CropSegInput\1194_Teror_frame_02_11_23_000.jpg,0.0,0.0,0.0
56,F:\Datasets\TFMTestRemake\CropSegInput\1204_PresaDeHornos_frame_13_40_31_000.jpg,0.0,0.0,0.0
57,F:\Datasets\TFMTestRemake\CropSegInput\1206_Teror_frame_02_58_01_000.jpg,0.0,0.0,0.0
58,F:\Datasets\TFMTestRemake\CropSegInput\1207_Teror_frame_02_30_20_000.jpg,1.0,1.0,1.0
59,F:\Datasets\TFMTestRemake\CropSegInput\1213_Teror_frame_02_09_23_000.jpg,1.0,1.0,1.0
60,F:\Datasets\TFMTestRemake\CropSegInput\1214_PresaDeHornos_frame_13_48_33_000.jpg,0.0,0.0,0.0
61,F:\Datasets\TFMTestRemake\CropSegInput\1216_Teror_frame_02_49_30_000.jpg,0.5,1.0,0.6666666666666666
62,F:\Datasets\TFMTestRemake\CropSegInput\1217_Teror_frame_02_56_05_000.jpg,1.0,1.0,1.0
63,F:\Datasets\TFMTestRemake\CropSegInput\1218_PresaDeHornos_frame_13_06_10_000.jpg,1.0,1.0,1.0
64,F:\Datasets\TFMTestRemake\CropSegInput\1219_PresaDeHornos_frame_13_06_10_000.jpg,1.0,1.0,1.0
65,F:\Datasets\TFMTestRemake\CropSegInput\121_Arucas_frame_01_42_38_000.jpg,1.0,1.0,1.0
66,F:\Datasets\TFMTestRemake\CropSegInput\1223_PresaDeHornos_frame_12_01_32_000.jpg,0.0,0.0,0.0
67,F:\Datasets\TFMTestRemake\CropSegInput\1224_Teror_frame_02_13_48_000.jpg,0.0,0.0,0.0
68,F:\Datasets\TFMTestRemake\CropSegInput\1225_Teror_frame_01_17_23_000.jpg,1.0,1.0,1.0
69,F:\Datasets\TFMTestRemake\CropSegInput\1227_Teror_frame_02_47_28_000.jpg,0.0,0.0,0.0
70,F:\Datasets\TFMTestRemake\CropSegInput\122_ParqueSur_frame_19_22_16_000.jpg,0.0,0.0,0.0
71,F:\Datasets\TFMTestRemake\CropSegInput\1234_PresaDeHornos_frame_13_16_12_000.jpg,0.0,0.0,0.0
72,F:\Datasets\TFMTestRemake\CropSegInput\1238_Teror_frame_03_10_52_000.jpg,1.0,1.0,1.0
73,F:\Datasets\TFMTestRemake\CropSegInput\1245_Teror_frame_02_18_35_000.jpg,1.0,1.0,1.0
74,F:\Datasets\TFMTestRemake\CropSegInput\1249_Teror_frame_03_05_25_000.jpg,1.0,1.0,1.0
75,F:\Datasets\TFMTestRemake\CropSegInput\1256_Teror_frame_02_25_34_000.jpg,0.0,0.0,0.0
76,F:\Datasets\TFMTestRemake\CropSegInput\1258_PresaDeHornos_frame_12_52_46_000.jpg,1.0,1.0,1.0
77,F:\Datasets\TFMTestRemake\CropSegInput\1261_PresaDeHornos_frame_14_05_43_000.jpg,0.5,1.0,0.6666666666666666
78,F:\Datasets\TFMTestRemake\CropSegInput\1263_Teror_frame_02_33_29_000.jpg,1.0,1.0,1.0
79,F:\Datasets\TFMTestRemake\CropSegInput\1265_Teror_frame_03_27_55_000.jpg,1.0,1.0,1.0
80,F:\Datasets\TFMTestRemake\CropSegInput\1266_Teror_frame_02_46_38_000.jpg,1.0,1.0,1.0
81,F:\Datasets\TFMTestRemake\CropSegInput\1272_Teror_frame_02_40_51_000.jpg,1.0,1.0,1.0
82,F:\Datasets\TFMTestRemake\CropSegInput\1275_Teror_frame_02_40_51_000.jpg,0.0,0.0,0.0
83,F:\Datasets\TFMTestRemake\CropSegInput\1276_Teror_frame_02_04_18_000.jpg,1.0,1.0,1.0
84,F:\Datasets\TFMTestRemake\CropSegInput\1277_PresaDeHornos_frame_11_12_35_000.jpg,1.0,1.0,1.0
85,F:\Datasets\TFMTestRemake\CropSegInput\1280_PresaDeHornos_frame_12_47_07_000.jpg,0.5,1.0,0.6666666666666666
86,F:\Datasets\TFMTestRemake\CropSegInput\1281_PresaDeHornos_frame_13_12_54_000.jpg,1.0,1.0,1.0
87,F:\Datasets\TFMTestRemake\CropSegInput\1284_Teror_frame_02_28_44_000.jpg,1.0,1.0,1.0
88,F:\Datasets\TFMTestRemake\CropSegInput\1289_Teror_frame_02_17_43_000.jpg,0.0,0.0,0.0
89,F:\Datasets\TFMTestRemake\CropSegInput\1292_Teror_frame_02_04_48_000.jpg,0.0,0.0,0.0
90,F:\Datasets\TFMTestRemake\CropSegInput\1295_Teror_frame_02_18_06_000.jpg,1.0,1.0,1.0
91,F:\Datasets\TFMTestRemake\CropSegInput\1300_Teror_frame_03_21_26_000.jpg,1.0,1.0,1.0
92,F:\Datasets\TFMTestRemake\CropSegInput\1303_Teror_frame_02_08_22_000.jpg,1.0,1.0,1.0
93,F:\Datasets\TFMTestRemake\CropSegInput\1305_PresaDeHornos_frame_13_43_18_000.jpg,1.0,1.0,1.0
94,F:\Datasets\TFMTestRemake\CropSegInput\1307_Teror_frame_01_27_32_000.jpg,1.0,1.0,1.0
95,F:\Datasets\TFMTestRemake\CropSegInput\1312_Teror_frame_02_06_47_000.jpg,1.0,1.0,1.0
96,F:\Datasets\TFMTestRemake\CropSegInput\1327_Teror_frame_02_48_10_000.jpg,0.5,1.0,0.6666666666666666
97,F:\Datasets\TFMTestRemake\CropSegInput\1331_Teror_frame_02_33_27_000.jpg,1.0,1.0,1.0
98,F:\Datasets\TFMTestRemake\CropSegInput\1337_PresaDeHornos_frame_12_10_00_000.jpg,0.5,1.0,0.6666666666666666
99,F:\Datasets\TFMTestRemake\CropSegInput\1339_PresaDeHornos_frame_12_10_00_000.jpg,1.0,1.0,1.0
100,F:\Datasets\TFMTestRemake\CropSegInput\1340_Teror_frame_03_18_03_000.jpg,1.0,1.0,1.0
101,F:\Datasets\TFMTestRemake\CropSegInput\1344_Teror_frame_01_54_25_000.jpg,1.0,1.0,1.0
102,F:\Datasets\TFMTestRemake\CropSegInput\1348_Teror_frame_02_26_07_000.jpg,1.0,1.0,1.0
103,F:\Datasets\TFMTestRemake\CropSegInput\1352_PresaDeHornos_frame_12_40_01_000.jpg,0.0,0.0,0.0
104,F:\Datasets\TFMTestRemake\CropSegInput\1357_Teror_frame_02_18_49_000.jpg,1.0,1.0,1.0
105,F:\Datasets\TFMTestRemake\CropSegInput\1362_Teror_frame_02_25_35_000.jpg,1.0,1.0,1.0
106,F:\Datasets\TFMTestRemake\CropSegInput\1364_Teror_frame_02_35_46_000.jpg,1.0,1.0,1.0
107,F:\Datasets\TFMTestRemake\CropSegInput\1367_Teror_frame_03_06_48_000.jpg,1.0,1.0,1.0
108,F:\Datasets\TFMTestRemake\CropSegInput\1370_Teror_frame_02_43_48_000.jpg,0.0,0.0,0.0
109,F:\Datasets\TFMTestRemake\CropSegInput\1372_Teror_frame_02_43_48_000.jpg,1.0,1.0,1.0
110,F:\Datasets\TFMTestRemake\CropSegInput\1375_PresaDeHornos_frame_13_29_54_000.jpg,1.0,1.0,1.0
111,F:\Datasets\TFMTestRemake\CropSegInput\1376_Teror_frame_03_02_15_000.jpg,1.0,1.0,1.0
112,F:\Datasets\TFMTestRemake\CropSegInput\1379_Teror_frame_02_46_56_000.jpg,1.0,1.0,1.0
113,F:\Datasets\TFMTestRemake\CropSegInput\137_PresaDeHornos_frame_10_38_51_000.jpg,1.0,1.0,1.0
114,F:\Datasets\TFMTestRemake\CropSegInput\1383_Teror_frame_02_23_49_000.jpg,1.0,1.0,1.0
115,F:\Datasets\TFMTestRemake\CropSegInput\1387_Teror_frame_02_07_55_000.jpg,0.0,0.0,0.0
116,F:\Datasets\TFMTestRemake\CropSegInput\1388_Teror_frame_03_21_50_000.jpg,1.0,1.0,1.0
117,F:\Datasets\TFMTestRemake\CropSegInput\1394_Teror_frame_03_02_19_000.jpg,1.0,1.0,1.0
118,F:\Datasets\TFMTestRemake\CropSegInput\1395_PresaDeHornos_frame_13_33_41_000.jpg,1.0,1.0,1.0
119,F:\Datasets\TFMTestRemake\CropSegInput\1397_Teror_frame_02_38_14_000.jpg,0.0,0.0,0.0
120,F:\Datasets\TFMTestRemake\CropSegInput\13_Arucas_frame_01_28_10_000.jpg,1.0,1.0,1.0
121,F:\Datasets\TFMTestRemake\CropSegInput\1402_Teror_frame_02_43_41_000.jpg,0.3333333333333333,1.0,0.5
122,F:\Datasets\TFMTestRemake\CropSegInput\1406_Teror_frame_02_10_10_000.jpg,0.5,1.0,0.6666666666666666
123,F:\Datasets\TFMTestRemake\CropSegInput\1409_Teror_frame_02_10_10_000.jpg,0.0,0.0,0.0
124,F:\Datasets\TFMTestRemake\CropSegInput\1413_Teror_frame_02_48_46_000.jpg,1.0,1.0,1.0
125,F:\Datasets\TFMTestRemake\CropSegInput\1415_Teror_frame_01_34_07_000.jpg,1.0,1.0,1.0
126,F:\Datasets\TFMTestRemake\CropSegInput\1417_Teror_frame_03_17_22_000.jpg,0.0,0.0,0.0
127,F:\Datasets\TFMTestRemake\CropSegInput\1418_Teror_frame_02_29_08_000.jpg,1.0,1.0,1.0
128,F:\Datasets\TFMTestRemake\CropSegInput\1424_Teror_frame_03_30_16_000.jpg,1.0,1.0,1.0
129,F:\Datasets\TFMTestRemake\CropSegInput\1427_Teror_frame_02_15_10_000.jpg,0.0,0.0,0.0
130,F:\Datasets\TFMTestRemake\CropSegInput\1431_Teror_frame_03_09_39_000.jpg,1.0,1.0,1.0
131,F:\Datasets\TFMTestRemake\CropSegInput\1433_Teror_frame_02_12_30_000.jpg,1.0,1.0,1.0
132,F:\Datasets\TFMTestRemake\CropSegInput\1435_Teror_frame_02_12_30_000.jpg,0.0,0.0,0.0
133,F:\Datasets\TFMTestRemake\CropSegInput\1437_Teror_frame_02_49_34_000.jpg,1.0,1.0,1.0
134,F:\Datasets\TFMTestRemake\CropSegInput\143_Arucas_frame_01_43_49_000.jpg,1.0,1.0,1.0
135,F:\Datasets\TFMTestRemake\CropSegInput\1440_Teror_frame_03_15_13_000.jpg,1.0,1.0,1.0
136,F:\Datasets\TFMTestRemake\CropSegInput\1441_Teror_frame_03_14_53_000.jpg,0.0,0.0,0.0
137,F:\Datasets\TFMTestRemake\CropSegInput\1442_PresaDeHornos_frame_11_54_42_000.jpg,1.0,1.0,1.0
138,F:\Datasets\TFMTestRemake\CropSegInput\1443_Teror_frame_03_03_26_000.jpg,1.0,1.0,1.0
139,F:\Datasets\TFMTestRemake\CropSegInput\1445_Teror_frame_02_48_15_000.jpg,1.0,1.0,1.0
140,F:\Datasets\TFMTestRemake\CropSegInput\1452_Teror_frame_03_04_41_000.jpg,1.0,1.0,1.0
141,F:\Datasets\TFMTestRemake\CropSegInput\1453_Teror_frame_03_04_41_000.jpg,1.0,1.0,1.0
142,F:\Datasets\TFMTestRemake\CropSegInput\1454_Teror_frame_03_04_41_000.jpg,0.0,0.0,0.0
143,F:\Datasets\TFMTestRemake\CropSegInput\1455_Teror_frame_02_47_23_000.jpg,1.0,1.0,1.0
144,F:\Datasets\TFMTestRemake\CropSegInput\1459_PresaDeHornos_frame_12_41_00_000.jpg,1.0,1.0,1.0
145,F:\Datasets\TFMTestRemake\CropSegInput\1463_PresaDeHornos_frame_13_44_25_000.jpg,1.0,1.0,1.0
146,F:\Datasets\TFMTestRemake\CropSegInput\1472_Teror_frame_02_13_00_000.jpg,0.5,1.0,0.6666666666666666
147,F:\Datasets\TFMTestRemake\CropSegInput\1476_Teror_frame_03_02_57_000.jpg,0.0,0.0,0.0
148,F:\Datasets\TFMTestRemake\CropSegInput\1477_Teror_frame_02_15_17_000.jpg,0.5,1.0,0.6666666666666666
149,F:\Datasets\TFMTestRemake\CropSegInput\1482_Teror_frame_02_30_21_000.jpg,1.0,1.0,1.0
150,F:\Datasets\TFMTestRemake\CropSegInput\1488_PresaDeHornos_frame_13_48_41_000.jpg,1.0,1.0,1.0
151,F:\Datasets\TFMTestRemake\CropSegInput\1490_Teror_frame_02_00_58_000.jpg,0.5,1.0,0.6666666666666666
152,F:\Datasets\TFMTestRemake\CropSegInput\1491_Teror_frame_02_04_19_000.jpg,1.0,1.0,1.0
153,F:\Datasets\TFMTestRemake\CropSegInput\1497_Teror_frame_02_42_59_000.jpg,1.0,1.0,1.0
154,F:\Datasets\TFMTestRemake\CropSegInput\150_Arucas_frame_01_46_04_000.jpg,1.0,1.0,1.0
155,F:\Datasets\TFMTestRemake\CropSegInput\152_Ayagaures_frame_17_58_19_000.jpg,1.0,1.0,1.0
156,F:\Datasets\TFMTestRemake\CropSegInput\154_Ayagaures_frame_17_58_19_000.jpg,0.0,0.0,0.0
157,F:\Datasets\TFMTestRemake\CropSegInput\158_ParqueSur_frame_15_53_56_000.jpg,0.5,1.0,0.6666666666666666
158,F:\Datasets\TFMTestRemake\CropSegInput\161_Arucas_frame_01_46_03_000.jpg,1.0,1.0,1.0
159,F:\Datasets\TFMTestRemake\CropSegInput\164_Arucas_frame_01_48_09_000.jpg,0.5,1.0,0.6666666666666666
160,F:\Datasets\TFMTestRemake\CropSegInput\16_Arucas_frame_01_28_10_000.jpg,1.0,1.0,1.0
161,F:\Datasets\TFMTestRemake\CropSegInput\172_Arucas_frame_01_51_06_000.jpg,1.0,1.0,1.0
162,F:\Datasets\TFMTestRemake\CropSegInput\173_Arucas_frame_01_51_06_000.jpg,0.5,1.0,0.6666666666666666
163,F:\Datasets\TFMTestRemake\CropSegInput\175_Arucas_frame_01_49_55_000.jpg,1.0,1.0,1.0
164,F:\Datasets\TFMTestRemake\CropSegInput\179_Arucas_frame_01_45_55_000.jpg,1.0,1.0,1.0
165,F:\Datasets\TFMTestRemake\CropSegInput\17_Arucas_frame_01_28_10_000.jpg,1.0,1.0,1.0
166,F:\Datasets\TFMTestRemake\CropSegInput\188_ParqueSur_frame_12_40_17_000.jpg,0.0,0.0,0.0
167,F:\Datasets\TFMTestRemake\CropSegInput\18_Arucas_frame_01_44_35_000.jpg,1.0,1.0,1.0
168,F:\Datasets\TFMTestRemake\CropSegInput\199_PresaDeHornos_frame_11_08_58_000.jpg,0.5,1.0,0.6666666666666666
169,F:\Datasets\TFMTestRemake\CropSegInput\200_Arucas_frame_01_16_47_000.jpg,1.0,1.0,1.0
170,F:\Datasets\TFMTestRemake\CropSegInput\210_Ayagaures_frame_17_40_28_000.jpg,1.0,1.0,1.0
171,F:\Datasets\TFMTestRemake\CropSegInput\211_Ayagaures_frame_17_40_28_000.jpg,1.0,1.0,1.0
172,F:\Datasets\TFMTestRemake\CropSegInput\222_Arucas_frame_01_47_24_000.jpg,1.0,1.0,1.0
173,F:\Datasets\TFMTestRemake\CropSegInput\230_Arucas_frame_01_17_12_000.jpg,0.0,0.0,0.0
174,F:\Datasets\TFMTestRemake\CropSegInput\231_Arucas_frame_01_17_12_000.jpg,0.0,0.0,0.0
175,F:\Datasets\TFMTestRemake\CropSegInput\238_Arucas_frame_01_38_36_000.jpg,1.0,1.0,1.0
176,F:\Datasets\TFMTestRemake\CropSegInput\249_Arucas_frame_01_42_33_000.jpg,0.5,1.0,0.6666666666666666
177,F:\Datasets\TFMTestRemake\CropSegInput\24_Arucas_frame_01_18_35_000.jpg,1.0,1.0,1.0
178,F:\Datasets\TFMTestRemake\CropSegInput\252_Arucas_frame_01_45_15_000.jpg,1.0,1.0,1.0
179,F:\Datasets\TFMTestRemake\CropSegInput\256_Ayagaures_frame_16_16_50_000.jpg,1.0,1.0,1.0
180,F:\Datasets\TFMTestRemake\CropSegInput\25_Arucas_frame_01_27_30_000.jpg,1.0,1.0,1.0
