,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemakeOwn\CropTPInput\0_bib_number_0005.jpg,0.0,0,0
1,F:\Datasets\TFMTestRemakeOwn\CropTPInput\100_bib_number_0188.jpg,1.0,0.6666666666666666,0.8
2,F:\Datasets\TFMTestRemakeOwn\CropTPInput\101_bib_number_0188.jpg,0.0,0.0,0
3,F:\Datasets\TFMTestRemakeOwn\CropTPInput\102_bib_number_0188.jpg,1.0,1.0,1.0
4,F:\Datasets\TFMTestRemakeOwn\CropTPInput\103_bib_number_0188.jpg,0.5,0.3333333333333333,0.4
5,F:\Datasets\TFMTestRemakeOwn\CropTPInput\104_bib_number_0192.jpg,1.0,1.0,1.0
6,F:\Datasets\TFMTestRemakeOwn\CropTPInput\105_bib_number_0192.jpg,0.0,0.0,0
7,F:\Datasets\TFMTestRemakeOwn\CropTPInput\106_bib_number_0192.jpg,0.0,0,0
8,F:\Datasets\TFMTestRemakeOwn\CropTPInput\107_bib_number_0194.jpg,0.25,1.0,0.4
9,F:\Datasets\TFMTestRemakeOwn\CropTPInput\108_bib_number_0204.jpg,0.0,0.0,0
10,F:\Datasets\TFMTestRemakeOwn\CropTPInput\109_bib_number_0204.jpg,0.0,0,0
11,F:\Datasets\TFMTestRemakeOwn\CropTPInput\10_bib_number_0010.jpg,0.1,1.0,0.18181818181818182
12,F:\Datasets\TFMTestRemakeOwn\CropTPInput\110_bib_number_0204.jpg,0.0,0,0
13,F:\Datasets\TFMTestRemakeOwn\CropTPInput\111_bib_number_0204.jpg,0.0,0,0
14,F:\Datasets\TFMTestRemakeOwn\CropTPInput\112_bib_number_0204.jpg,0.0,0,0
15,F:\Datasets\TFMTestRemakeOwn\CropTPInput\113_bib_number_0204.jpg,0.0,0,0
16,F:\Datasets\TFMTestRemakeOwn\CropTPInput\114_bib_number_0204.jpg,0.0,0,0
17,F:\Datasets\TFMTestRemakeOwn\CropTPInput\115_bib_number_0209.jpg,1.0,1.0,1.0
18,F:\Datasets\TFMTestRemakeOwn\CropTPInput\116_bib_number_0210.jpg,0.3333333333333333,1.0,0.5
19,F:\Datasets\TFMTestRemakeOwn\CropTPInput\117_bib_number_0215.jpg,0.0,0.0,0
20,F:\Datasets\TFMTestRemakeOwn\CropTPInput\118_bib_number_0222.jpg,0.05263157894736842,1.0,0.1
21,F:\Datasets\TFMTestRemakeOwn\CropTPInput\119_bib_number_0224.jpg,0.1111111111111111,1.0,0.19999999999999998
22,F:\Datasets\TFMTestRemakeOwn\CropTPInput\11_bib_number_0010.jpg,0.0,0,0
23,F:\Datasets\TFMTestRemakeOwn\CropTPInput\120_bib_number_0228.jpg,0.25,1.0,0.4
24,F:\Datasets\TFMTestRemakeOwn\CropTPInput\121_bib_number_0228.jpg,0.0,0,0
25,F:\Datasets\TFMTestRemakeOwn\CropTPInput\122_bib_number_0230.jpg,1.0,1.0,1.0
26,F:\Datasets\TFMTestRemakeOwn\CropTPInput\123_bib_number_0230.jpg,0.0,0,0
27,F:\Datasets\TFMTestRemakeOwn\CropTPInput\124_bib_number_0230.jpg,0.0,0.0,0
28,F:\Datasets\TFMTestRemakeOwn\CropTPInput\125_bib_number_0230.jpg,0.0,0.0,0
29,F:\Datasets\TFMTestRemakeOwn\CropTPInput\126_bib_number_0230.jpg,0.0,0,0
30,F:\Datasets\TFMTestRemakeOwn\CropTPInput\127_bib_number_0230.jpg,0.0,0,0
31,F:\Datasets\TFMTestRemakeOwn\CropTPInput\128_bib_number_0230.jpg,0.0,0,0
32,F:\Datasets\TFMTestRemakeOwn\CropTPInput\129_bib_number_0230.jpg,1.0,1.0,1.0
