,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemakeOwn\SegInput\0_bib_number_0005.jpg,0.0,0,0
1,F:\Datasets\TFMTestRemakeOwn\SegInput\100_bib_number_0188.jpg,1.0,1.0,1.0
2,F:\Datasets\TFMTestRemakeOwn\SegInput\101_bib_number_0188.jpg,0.0,0,0
3,F:\Datasets\TFMTestRemakeOwn\SegInput\102_bib_number_0188.jpg,0.0,0.0,0
4,F:\Datasets\TFMTestRemakeOwn\SegInput\103_bib_number_0188.jpg,0.5,1.0,0.6666666666666666
5,F:\Datasets\TFMTestRemakeOwn\SegInput\104_bib_number_0192.jpg,1.0,1.0,1.0
6,F:\Datasets\TFMTestRemakeOwn\SegInput\105_bib_number_0192.jpg,0.0,0.0,0
7,F:\Datasets\TFMTestRemakeOwn\SegInput\106_bib_number_0192.jpg,0.0,0,0
8,F:\Datasets\TFMTestRemakeOwn\SegInput\107_bib_number_0194.jpg,0.25,1.0,0.4
9,F:\Datasets\TFMTestRemakeOwn\SegInput\108_bib_number_0204.jpg,0.0,0.0,0
10,F:\Datasets\TFMTestRemakeOwn\SegInput\109_bib_number_0204.jpg,0.0,0,0
11,F:\Datasets\TFMTestRemakeOwn\SegInput\10_bib_number_0010.jpg,0.0,0,0
12,F:\Datasets\TFMTestRemakeOwn\SegInput\110_bib_number_0204.jpg,0.0,0,0
13,F:\Datasets\TFMTestRemakeOwn\SegInput\111_bib_number_0204.jpg,0.0,0,0
14,F:\Datasets\TFMTestRemakeOwn\SegInput\112_bib_number_0204.jpg,0.0,0,0
15,F:\Datasets\TFMTestRemakeOwn\SegInput\113_bib_number_0204.jpg,0.0,0,0
16,F:\Datasets\TFMTestRemakeOwn\SegInput\114_bib_number_0204.jpg,0.0,0,0
17,F:\Datasets\TFMTestRemakeOwn\SegInput\115_bib_number_0209.jpg,1.0,1.0,1.0
18,F:\Datasets\TFMTestRemakeOwn\SegInput\116_bib_number_0210.jpg,0.0,0.0,0
19,F:\Datasets\TFMTestRemakeOwn\SegInput\117_bib_number_0215.jpg,0.5,1.0,0.6666666666666666
20,F:\Datasets\TFMTestRemakeOwn\SegInput\118_bib_number_0222.jpg,0.5,1.0,0.6666666666666666
21,F:\Datasets\TFMTestRemakeOwn\SegInput\119_bib_number_0224.jpg,0.0,0,0
22,F:\Datasets\TFMTestRemakeOwn\SegInput\11_bib_number_0010.jpg,0.0,0,0
