,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0005.jpg,0.09090909090909091,1.0,0.16666666666666669
1,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0008.jpg,0.2857142857142857,1.0,0.4444444444444445
2,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0010.jpg,0.42857142857142855,1.0,0.6
3,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0011.jpg,0.14285714285714285,1.0,0.25
4,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0012.jpg,0.1,1.0,0.18181818181818182
5,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0015.jpg,0.2,1.0,0.33333333333333337
6,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0024.jpg,0.3125,0.625,0.4166666666666667
7,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0040.jpg,0.16666666666666666,1.0,0.2857142857142857
8,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0041.jpg,0.18181818181818182,1.0,0.3076923076923077
9,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0056.jpg,0.14285714285714285,1.0,0.25
10,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0058.jpg,0.15384615384615385,1.0,0.2666666666666667
11,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0062.jpg,0.2,1.0,0.33333333333333337
12,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0071.jpg,0.5,1.0,0.6666666666666666
13,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0073.jpg,0.2,1.0,0.33333333333333337
14,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0078.jpg,0.0,0.0,0.0
15,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0084.jpg,0.0,0.0,0.0
16,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0090.jpg,0.16666666666666666,1.0,0.2857142857142857
17,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0091.jpg,0.3333333333333333,1.0,0.5
18,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0096.jpg,0.3333333333333333,1.0,0.5
19,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0098.jpg,0.3333333333333333,1.0,0.5
20,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0111.jpg,1.0,1.0,1.0
21,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0112.jpg,0.1111111111111111,0.3333333333333333,0.16666666666666666
22,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0114.jpg,0.125,0.5,0.2
23,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0119.jpg,0.14285714285714285,1.0,0.25
24,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0127.jpg,0.5,0.75,0.6
25,F:\Datasets\TFMTestRemakeOwn\OriginalInput\bib_number_0133.jpg,0.2,1.0,0.33333333333333337
