,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_06_29_000.jpg,0.5,1.0,0.6666666666666666
1,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_08_02_000.jpg,0.3333333333333333,0.5,0.4
2,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_09_51_000.jpg,0.25,1.0,0.4
3,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_12_08_000.jpg,0.2,1.0,0.33333333333333337
4,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_14_15_000.jpg,0.5,1.0,0.6666666666666666
5,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_14_30_000.jpg,0.25,1.0,0.4
6,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_14_35_000.jpg,0.25,1.0,0.4
7,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_16_45_000.jpg,0.2,1.0,0.33333333333333337
8,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_16_46_000.jpg,0.3333333333333333,1.0,0.5
9,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_16_47_000.jpg,1.0,1.0,1.0
10,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_16_48_000.jpg,0.25,1.0,0.4
11,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_16_59_000.jpg,0.25,1.0,0.4
12,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_17_12_000.jpg,0.2,1.0,0.33333333333333337
13,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_19_000.jpg,0.2,1.0,0.33333333333333337
14,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_23_000.jpg,0.16666666666666666,1.0,0.2857142857142857
15,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_34_000.jpg,0.2,1.0,0.33333333333333337
16,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_35_000.jpg,0.0,0.0,0.0
17,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_37_000.jpg,0.25,0.3333333333333333,0.28571428571428575
18,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_18_44_000.jpg,0.25,0.5,0.3333333333333333
19,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_20_44_000.jpg,0.2,1.0,0.33333333333333337
20,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_21_27_000.jpg,0.5,0.5,0.5
21,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_21_34_000.jpg,0.6666666666666666,1.0,0.8
22,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_22_05_000.jpg,0.2,1.0,0.33333333333333337
23,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_23_52_000.jpg,0.0,0.0,0.0
24,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_24_14_000.jpg,0.3333333333333333,1.0,0.5
25,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_24_22_000.jpg,0.0,0.0,0.0
26,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_24_51_000.jpg,0.3333333333333333,1.0,0.5
27,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_24_53_000.jpg,0.25,1.0,0.4
28,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_25_08_000.jpg,0.3333333333333333,1.0,0.5
29,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_26_15_000.jpg,0.25,1.0,0.4
30,F:\Datasets\TFMTestRemakeOwn\TGCRBNWOriginalInput\Arucas_frame_01_26_16_000.jpg,0.5,1.0,0.6666666666666666
