,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\0_bib_number_0005.jpg,0.0,0,0
1,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\100_bib_number_0188.jpg,1.0,0.6666666666666666,0.8
2,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\101_bib_number_0188.jpg,0.0,0.0,0
3,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\102_bib_number_0188.jpg,1.0,1.0,1.0
4,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\103_bib_number_0188.jpg,0.5,0.3333333333333333,0.4
5,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\104_bib_number_0192.jpg,0.0,0.0,0
6,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\105_bib_number_0192.jpg,0.0,0.0,0
7,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\106_bib_number_0192.jpg,0.0,0,0
8,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\107_bib_number_0194.jpg,0.5,1.0,0.6666666666666666
9,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\108_bib_number_0204.jpg,0.0,0.0,0
10,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\109_bib_number_0204.jpg,0.0,0,0
11,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\10_bib_number_0010.jpg,0.0,0.0,0
12,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\110_bib_number_0204.jpg,0.0,0,0
13,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\111_bib_number_0204.jpg,0.0,0,0
14,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\112_bib_number_0204.jpg,0.0,0,0
15,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\113_bib_number_0204.jpg,0.0,0,0
16,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\114_bib_number_0204.jpg,0.0,0,0
17,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\115_bib_number_0209.jpg,0.0,0.0,0
18,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\116_bib_number_0210.jpg,0.0,0.0,0
19,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\117_bib_number_0215.jpg,0.0,0.0,0
20,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\118_bib_number_0222.jpg,0.0,0.0,0
21,F:\Datasets\TFMTestRemake\BibNumberTestPeopleImg\119_bib_number_0224.jpg,0.0,0.0,0
