,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\0_Ayagaures_frame_18_45_40_000.jpg,1.0,1.0,1.0
1,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1000_Arucas_frame_01_29_30_000.jpg,0.0,0.0,0.0
2,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1001_Arucas_frame_01_29_30_000.jpg,0.0,0.0,0.0
3,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1002_Arucas_frame_01_46_54_000.jpg,1.0,1.0,1.0
4,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1003_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
5,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1004_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
6,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1005_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
7,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1006_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
8,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1007_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
9,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1008_PresaDeHornos_frame_10_05_38_000.jpg,1.0,1.0,1.0
10,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1009_ParqueSur_frame_17_34_00_000.jpg,0.5,1.0,0.6666666666666666
11,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\100_Arucas_frame_01_42_55_000.jpg,0.0,0.0,0.0
12,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1010_Arucas_frame_01_51_05_000.jpg,0.0,0.0,0.0
13,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1011_Arucas_frame_01_51_05_000.jpg,0.0,0.0,0.0
14,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1012_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
15,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1013_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
16,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1014_ParqueSur_frame_15_44_33_000.jpg,0.0,0.0,0.0
17,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1015_ParqueSur_frame_15_44_33_000.jpg,1.0,1.0,1.0
18,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1016_ParqueSur_frame_15_44_33_000.jpg,0.0,0.0,0.0
19,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1017_Arucas_frame_01_40_44_000.jpg,0.0,0.0,0.0
20,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1018_Arucas_frame_01_40_44_000.jpg,0.3333333333333333,1.0,0.5
21,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1019_Arucas_frame_01_40_44_000.jpg,0.0,0.0,0.0
22,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\101_Arucas_frame_01_42_55_000.jpg,0.0,0.0,0.0
23,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1020_ParqueSur_frame_15_04_54_000.jpg,1.0,1.0,1.0
24,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1021_ParqueSur_frame_15_04_54_000.jpg,1.0,1.0,1.0
25,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1022_ParqueSur_frame_15_04_54_000.jpg,0.0,0.0,0.0
26,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1023_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
27,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1024_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
28,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1025_Arucas_frame_01_20_44_000.jpg,0.5,1.0,0.6666666666666666
29,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1026_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
30,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1027_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
31,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1028_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
32,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1029_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
33,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\102_ParqueSur_frame_19_41_31_000.jpg,0.0,0.0,0.0
34,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1030_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
35,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1031_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
36,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1032_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
37,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1033_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
38,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1034_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
39,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1035_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
40,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1036_Arucas_frame_01_42_53_000.jpg,0.0,0.0,0.0
41,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1038_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
42,F:\Datasets\TFMTestRemake\CropSegInputBottomReduced\1039_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
