,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\CropSegInput\0_Ayagaures_frame_18_45_40_000.jpg,1.0,1.0,1.0
1,F:\Datasets\TFMTestRemake\CropSegInput\1000_Arucas_frame_01_29_30_000.jpg,0.0,0.0,0.0
2,F:\Datasets\TFMTestRemake\CropSegInput\1001_Arucas_frame_01_29_30_000.jpg,0.0,0.0,0.0
3,F:\Datasets\TFMTestRemake\CropSegInput\1002_Arucas_frame_01_46_54_000.jpg,1.0,1.0,1.0
4,F:\Datasets\TFMTestRemake\CropSegInput\1003_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
5,F:\Datasets\TFMTestRemake\CropSegInput\1005_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
6,F:\Datasets\TFMTestRemake\CropSegInput\1006_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
7,F:\Datasets\TFMTestRemake\CropSegInput\1007_Arucas_frame_01_46_54_000.jpg,0.0,0.0,0.0
8,F:\Datasets\TFMTestRemake\CropSegInput\1008_PresaDeHornos_frame_10_05_38_000.jpg,0.0,0.0,0.0
9,F:\Datasets\TFMTestRemake\CropSegInput\1009_ParqueSur_frame_17_34_00_000.jpg,1.0,1.0,1.0
10,F:\Datasets\TFMTestRemake\CropSegInput\100_Arucas_frame_01_42_55_000.jpg,0.0,0.0,0.0
11,F:\Datasets\TFMTestRemake\CropSegInput\1010_Arucas_frame_01_51_05_000.jpg,0.0,0.0,0.0
12,F:\Datasets\TFMTestRemake\CropSegInput\1011_Arucas_frame_01_51_05_000.jpg,0.0,0.0,0.0
13,F:\Datasets\TFMTestRemake\CropSegInput\1012_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
14,F:\Datasets\TFMTestRemake\CropSegInput\1013_Arucas_frame_01_51_05_000.jpg,1.0,1.0,1.0
15,F:\Datasets\TFMTestRemake\CropSegInput\1014_ParqueSur_frame_15_44_33_000.jpg,0.0,0.0,0.0
16,F:\Datasets\TFMTestRemake\CropSegInput\1015_ParqueSur_frame_15_44_33_000.jpg,0.0,0.0,0.0
17,F:\Datasets\TFMTestRemake\CropSegInput\1017_Arucas_frame_01_40_44_000.jpg,0.0,0.0,0.0
18,F:\Datasets\TFMTestRemake\CropSegInput\1018_Arucas_frame_01_40_44_000.jpg,1.0,1.0,1.0
19,F:\Datasets\TFMTestRemake\CropSegInput\1019_Arucas_frame_01_40_44_000.jpg,0.0,0.0,0.0
20,F:\Datasets\TFMTestRemake\CropSegInput\101_Arucas_frame_01_42_55_000.jpg,0.0,0.0,0.0
21,F:\Datasets\TFMTestRemake\CropSegInput\1020_ParqueSur_frame_15_04_54_000.jpg,0.0,0.0,0.0
22,F:\Datasets\TFMTestRemake\CropSegInput\1021_ParqueSur_frame_15_04_54_000.jpg,0.0,0.0,0.0
23,F:\Datasets\TFMTestRemake\CropSegInput\1023_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
24,F:\Datasets\TFMTestRemake\CropSegInput\1024_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
25,F:\Datasets\TFMTestRemake\CropSegInput\1025_Arucas_frame_01_20_44_000.jpg,1.0,1.0,1.0
26,F:\Datasets\TFMTestRemake\CropSegInput\1026_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
27,F:\Datasets\TFMTestRemake\CropSegInput\1027_Arucas_frame_01_20_44_000.jpg,0.0,0.0,0.0
28,F:\Datasets\TFMTestRemake\CropSegInput\1028_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
29,F:\Datasets\TFMTestRemake\CropSegInput\1029_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
30,F:\Datasets\TFMTestRemake\CropSegInput\1030_Arucas_frame_01_39_50_000.jpg,0.0,0.0,0.0
31,F:\Datasets\TFMTestRemake\CropSegInput\1031_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
32,F:\Datasets\TFMTestRemake\CropSegInput\1032_Arucas_frame_01_32_49_000.jpg,1.0,1.0,1.0
33,F:\Datasets\TFMTestRemake\CropSegInput\1033_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
34,F:\Datasets\TFMTestRemake\CropSegInput\1034_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
35,F:\Datasets\TFMTestRemake\CropSegInput\1035_Arucas_frame_01_32_49_000.jpg,0.0,0.0,0.0
36,F:\Datasets\TFMTestRemake\CropSegInput\1036_Arucas_frame_01_42_53_000.jpg,0.0,0.0,0.0
37,F:\Datasets\TFMTestRemake\CropSegInput\1037_Arucas_frame_01_42_53_000.jpg,0.0,0.0,0.0
38,F:\Datasets\TFMTestRemake\CropSegInput\1038_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
39,F:\Datasets\TFMTestRemake\CropSegInput\1039_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
40,F:\Datasets\TFMTestRemake\CropSegInput\1040_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
41,F:\Datasets\TFMTestRemake\CropSegInput\1041_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
42,F:\Datasets\TFMTestRemake\CropSegInput\1042_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
43,F:\Datasets\TFMTestRemake\CropSegInput\1043_Arucas_frame_01_47_04_000.jpg,0.0,0.0,0.0
44,F:\Datasets\TFMTestRemake\CropSegInput\1044_Arucas_frame_01_16_46_000.jpg,1.0,1.0,1.0
45,F:\Datasets\TFMTestRemake\CropSegInput\1045_Arucas_frame_01_16_46_000.jpg,0.0,0.0,0.0
46,F:\Datasets\TFMTestRemake\CropSegInput\1046_Arucas_frame_01_16_46_000.jpg,0.0,0.0,0.0
47,F:\Datasets\TFMTestRemake\CropSegInput\1047_Arucas_frame_01_16_46_000.jpg,0.0,0.0,0.0
48,F:\Datasets\TFMTestRemake\CropSegInput\1048_Arucas_frame_01_16_46_000.jpg,0.0,0.0,0.0
49,F:\Datasets\TFMTestRemake\CropSegInput\1049_Arucas_frame_01_38_57_000.jpg,0.0,0.0,0.0
50,F:\Datasets\TFMTestRemake\CropSegInput\104_Ayagaures_frame_16_18_41_000.jpg,0.0,0.0,0.0
51,F:\Datasets\TFMTestRemake\CropSegInput\1050_Arucas_frame_01_38_57_000.jpg,0.3333333333333333,1.0,0.5
52,F:\Datasets\TFMTestRemake\CropSegInput\1051_Arucas_frame_01_38_57_000.jpg,0.0,0.0,0.0
53,F:\Datasets\TFMTestRemake\CropSegInput\1052_Arucas_frame_01_38_57_000.jpg,0.0,0.0,0.0
54,F:\Datasets\TFMTestRemake\CropSegInput\1053_ParqueSur_frame_16_33_16_000.jpg,0.0,0.0,0.0
55,F:\Datasets\TFMTestRemake\CropSegInput\1054_ParqueSur_frame_16_33_16_000.jpg,0.0,0.0,0.0
56,F:\Datasets\TFMTestRemake\CropSegInput\1055_ParqueSur_frame_16_33_16_000.jpg,0.0,0.0,0.0
57,F:\Datasets\TFMTestRemake\CropSegInput\1056_Arucas_frame_01_39_30_000.jpg,1.0,1.0,1.0
58,F:\Datasets\TFMTestRemake\CropSegInput\1057_Arucas_frame_01_39_30_000.jpg,0.0,0.0,0.0
59,F:\Datasets\TFMTestRemake\CropSegInput\1058_Arucas_frame_01_39_30_000.jpg,0.0,0.0,0.0
60,F:\Datasets\TFMTestRemake\CropSegInput\1059_Arucas_frame_01_39_30_000.jpg,0.0,0.0,0.0
61,F:\Datasets\TFMTestRemake\CropSegInput\105_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
62,F:\Datasets\TFMTestRemake\CropSegInput\1060_Arucas_frame_01_39_30_000.jpg,0.0,0.0,0.0
63,F:\Datasets\TFMTestRemake\CropSegInput\1061_Arucas_frame_01_18_37_000.jpg,0.0,0.0,0.0
64,F:\Datasets\TFMTestRemake\CropSegInput\1062_Arucas_frame_01_18_37_000.jpg,0.0,0.0,0.0
65,F:\Datasets\TFMTestRemake\CropSegInput\1063_Arucas_frame_01_18_37_000.jpg,0.0,0.0,0.0
66,F:\Datasets\TFMTestRemake\CropSegInput\1064_Arucas_frame_01_18_37_000.jpg,1.0,1.0,1.0
67,F:\Datasets\TFMTestRemake\CropSegInput\1065_Arucas_frame_01_18_37_000.jpg,0.0,0.0,0.0
68,F:\Datasets\TFMTestRemake\CropSegInput\1066_Arucas_frame_01_40_42_000.jpg,0.0,0.0,0.0
69,F:\Datasets\TFMTestRemake\CropSegInput\1067_Arucas_frame_01_40_42_000.jpg,0.0,0.0,0.0
70,F:\Datasets\TFMTestRemake\CropSegInput\1068_Arucas_frame_01_40_42_000.jpg,0.0,0.0,0.0
71,F:\Datasets\TFMTestRemake\CropSegInput\1069_PresaDeHornos_frame_11_04_16_000.jpg,0.0,0.0,0.0
72,F:\Datasets\TFMTestRemake\CropSegInput\106_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
73,F:\Datasets\TFMTestRemake\CropSegInput\1070_PresaDeHornos_frame_10_24_58_000.jpg,1.0,1.0,1.0
74,F:\Datasets\TFMTestRemake\CropSegInput\1071_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
75,F:\Datasets\TFMTestRemake\CropSegInput\1072_Arucas_frame_01_33_57_000.jpg,0.5,1.0,0.6666666666666666
76,F:\Datasets\TFMTestRemake\CropSegInput\1073_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
77,F:\Datasets\TFMTestRemake\CropSegInput\1074_Arucas_frame_01_33_57_000.jpg,0.0,0.0,0.0
78,F:\Datasets\TFMTestRemake\CropSegInput\1075_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
79,F:\Datasets\TFMTestRemake\CropSegInput\1076_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
80,F:\Datasets\TFMTestRemake\CropSegInput\1077_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
81,F:\Datasets\TFMTestRemake\CropSegInput\1078_Arucas_frame_01_29_13_000.jpg,0.0,0.0,0.0
82,F:\Datasets\TFMTestRemake\CropSegInput\1079_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
83,F:\Datasets\TFMTestRemake\CropSegInput\107_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
84,F:\Datasets\TFMTestRemake\CropSegInput\1080_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
85,F:\Datasets\TFMTestRemake\CropSegInput\1081_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
86,F:\Datasets\TFMTestRemake\CropSegInput\1082_Ayagaures_frame_14_23_07_000.jpg,0.0,0.0,0.0
87,F:\Datasets\TFMTestRemake\CropSegInput\1083_Teror_frame_02_20_52_000.jpg,0.0,0.0,0.0
88,F:\Datasets\TFMTestRemake\CropSegInput\1084_Teror_frame_02_20_52_000.jpg,0.0,0.0,0.0
89,F:\Datasets\TFMTestRemake\CropSegInput\1085_Teror_frame_02_20_52_000.jpg,0.0,0.0,0.0
90,F:\Datasets\TFMTestRemake\CropSegInput\1086_PresaDeHornos_frame_11_36_45_000.jpg,0.0,0.0,0.0
91,F:\Datasets\TFMTestRemake\CropSegInput\1087_Teror_frame_03_01_59_000.jpg,0.0,0.0,0.0
92,F:\Datasets\TFMTestRemake\CropSegInput\1088_Teror_frame_02_48_12_000.jpg,0.0,0.0,0.0
93,F:\Datasets\TFMTestRemake\CropSegInput\1089_Teror_frame_02_48_12_000.jpg,0.0,0.0,0.0
94,F:\Datasets\TFMTestRemake\CropSegInput\108_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
95,F:\Datasets\TFMTestRemake\CropSegInput\1090_Teror_frame_02_48_12_000.jpg,0.0,0.0,0.0
96,F:\Datasets\TFMTestRemake\CropSegInput\1091_Teror_frame_02_48_12_000.jpg,0.5,1.0,0.6666666666666666
97,F:\Datasets\TFMTestRemake\CropSegInput\1092_Teror_frame_02_48_12_000.jpg,0.0,0.0,0.0
98,F:\Datasets\TFMTestRemake\CropSegInput\1094_Teror_frame_01_30_58_000.jpg,1.0,1.0,1.0
99,F:\Datasets\TFMTestRemake\CropSegInput\1095_Teror_frame_01_30_58_000.jpg,0.0,0.0,0.0
100,F:\Datasets\TFMTestRemake\CropSegInput\1096_Teror_frame_01_30_58_000.jpg,0.0,0.0,0.0
101,F:\Datasets\TFMTestRemake\CropSegInput\1097_Teror_frame_02_33_22_000.jpg,0.0,0.0,0.0
102,F:\Datasets\TFMTestRemake\CropSegInput\1098_Teror_frame_02_33_22_000.jpg,1.0,1.0,1.0
103,F:\Datasets\TFMTestRemake\CropSegInput\1099_Teror_frame_02_33_22_000.jpg,0.0,0.0,0.0
104,F:\Datasets\TFMTestRemake\CropSegInput\109_Arucas_frame_01_28_06_000.jpg,0.0,0.0,0.0
105,F:\Datasets\TFMTestRemake\CropSegInput\10_Arucas_frame_01_28_04_000.jpg,0.0,0.0,0.0
106,F:\Datasets\TFMTestRemake\CropSegInput\1100_Teror_frame_01_45_40_000.jpg,0.0,0.0,0.0
107,F:\Datasets\TFMTestRemake\CropSegInput\1101_Teror_frame_01_45_40_000.jpg,0.0,0.0,0.0
108,F:\Datasets\TFMTestRemake\CropSegInput\1102_Teror_frame_01_45_40_000.jpg,0.0,0.0,0.0
109,F:\Datasets\TFMTestRemake\CropSegInput\1105_Teror_frame_01_45_40_000.jpg,0.0,0.0,0.0
110,F:\Datasets\TFMTestRemake\CropSegInput\1106_Teror_frame_02_20_56_000.jpg,0.0,0.0,0.0
111,F:\Datasets\TFMTestRemake\CropSegInput\1107_Teror_frame_02_20_56_000.jpg,1.0,1.0,1.0
112,F:\Datasets\TFMTestRemake\CropSegInput\1109_Teror_frame_03_04_13_000.jpg,0.0,0.0,0.0
